type,sortOrder,parentSlug,name,slug,tagline,description,status,filterGroup,iconAssetFile,imageAssetFile,imageAlt,lucideIconKey,commonServicesPipeSeparated
child,4,handyman,Caulking and patching,handyman-caulking-and-patching,,,active,handyman,assets/icons/handyman.svg,assets/images/service-handyman.jpg,,,
child,5,handyman,Hardware replacement,handyman-hardware-replacement,,,active,handyman,assets/icons/handyman.svg,assets/images/service-handyman.jpg,,,
child,6,handyman,Small drywall repair,handyman-small-drywall-repair,,,active,handyman,assets/icons/handyman.svg,assets/images/service-handyman.jpg,,,
child,7,handyman,Lock replacement,handyman-lock-replacement,,,active,handyman,assets/icons/handyman.svg,assets/images/service-handyman.jpg,,,
child,8,handyman,Picture hanging,handyman-picture-hanging,,,active,handyman,assets/icons/handyman.svg,assets/images/service-handyman.jpg,,,
parent,5,,House Cleaning,house-cleaning,Recurring & deep cleans,Recurring and one-time home cleaning with clear scopes and professional crews.,active,,assets/icons/house-cleaning.svg,assets/images/service-cleaning.jpg,Sunlit kitchen island being wiped after a clean,sparkles,Recurring house cleaning | Move-in and move-out cleans | Deep cleaning | Kitchen and bath focus | Post-renovation cleaning | Add-on appliance cleaning | Carpet cleaning | Window cleaning
child,1,house-cleaning,Recurring house cleaning,house-cleaning-recurring-house-cleaning,,,active,house-cleaning,assets/icons/house-cleaning.svg,assets/images/service-cleaning.jpg,,,
child,2,house-cleaning,Move-in and move-out cleans,house-cleaning-move-in-and-move-out-cleans,,,active,house-cleaning,assets/icons/house-cleaning.svg,assets/images/service-cleaning.jpg,,,
child,3,house-cleaning,Deep cleaning,house-cleaning-deep-cleaning,,,active,house-cleaning,assets/icons/house-cleaning.svg,assets/images/service-cleaning.jpg,,,
child,4,house-cleaning,Kitchen and bath focus,house-cleaning-kitchen-and-bath-focus,,,active,house-cleaning,assets/icons/house-cleaning.svg,assets/images/service-cleaning.jpg,,,
child,5,house-cleaning,Post-renovation cleaning,house-cleaning-post-renovation-cleaning,,,active,house-cleaning,assets/icons/house-cleaning.svg,assets/images/service-cleaning.jpg,,,
child,6,house-cleaning,Add-on appliance cleaning,house-cleaning-add-on-appliance-cleaning,,,active,house-cleaning,assets/icons/house-cleaning.svg,assets/images/service-cleaning.jpg,,,
child,7,house-cleaning,Carpet cleaning,house-cleaning-carpet-cleaning,,,active,house-cleaning,assets/icons/house-cleaning.svg,assets/images/service-cleaning.jpg,,,
child,8,house-cleaning,Window cleaning,house-cleaning-window-cleaning,,,active,house-cleaning,assets/icons/house-cleaning.svg,assets/images/service-cleaning.jpg,,,
parent,6,,Roofing,roofing,Repairs & replacement,"Roof inspections, repairs, and replacement estimates from local roofing companies.",active,,assets/icons/roofing.svg,assets/images/service-roofing.jpg,Asphalt roof shingles under a blue sky,house,Roof inspections | Leak repair | Shingle replacement | Storm damage assessment | Gutter coordination | Full roof replacement estimates | Gutter installation | Roof flashing repair
child,1,roofing,Roof inspections,roofing-roof-inspections,,,active,roofing,assets/icons/roofing.svg,assets/images/service-roofing.jpg,,,
child,2,roofing,Leak repair,roofing-leak-repair,,,active,roofing,assets/icons/roofing.svg,assets/images/service-roofing.jpg,,,
child,3,roofing,Shingle replacement,roofing-shingle-replacement,,,active,roofing,assets/icons/roofing.svg,assets/images/service-roofing.jpg,,,
child,4,roofing,Storm damage assessment,roofing-storm-damage-assessment,,,active,roofing,assets/icons/roofing.svg,assets/images/service-roofing.jpg,,,
child,5,roofing,Gutter coordination,roofing-gutter-coordination,,,active,roofing,assets/icons/roofing.svg,assets/images/service-roofing.jpg,,,
child,6,roofing,Full roof replacement estimates,roofing-full-roof-replacement-estimates,,,active,roofing,assets/icons/roofing.svg,assets/images/service-roofing.jpg,,,
child,7,roofing,Gutter installation,roofing-gutter-installation,,,active,roofing,assets/icons/roofing.svg,assets/images/service-roofing.jpg,,,
child,8,roofing,Roof flashing repair,roofing-roof-flashing-repair,,,active,roofing,assets/icons/roofing.svg,assets/images/service-roofing.jpg,,,
parent,7,,Landscaping,landscaping,Lawns & outdoor care,"Lawn care, seasonal cleanup, planting, and outdoor maintenance from local crews.",active,,assets/icons/landscaping.svg,assets/images/service-landscaping.jpg,Green hedges being trimmed in a front yard,trees,Lawn maintenance | Seasonal cleanup | Mulch and planting | Shrub trimming | Irrigation checks | Yard improvement estimates | Tree trimming | Sod installation
child,1,landscaping,Lawn maintenance,landscaping-lawn-maintenance,,,active,landscaping,assets/icons/landscaping.svg,assets/images/service-landscaping.jpg,,,
child,2,landscaping,Seasonal cleanup,landscaping-seasonal-cleanup,,,active,landscaping,assets/icons/landscaping.svg,assets/images/service-landscaping.jpg,,,
child,3,landscaping,Mulch and planting,landscaping-mulch-and-planting,,,active,landscaping,assets/icons/landscaping.svg,assets/images/service-landscaping.jpg,,,
child,4,landscaping,Shrub trimming,landscaping-shrub-trimming,,,active,landscaping,assets/icons/landscaping.svg,assets/images/service-landscaping.jpg,,,
child,5,landscaping,Irrigation checks,landscaping-irrigation-checks,,,active,landscaping,assets/icons/landscaping.svg,assets/images/service-landscaping.jpg,,,
child,6,landscaping,Yard improvement estimates,landscaping-yard-improvement-estimates,,,active,landscaping,assets/icons/landscaping.svg,assets/images/service-landscaping.jpg,,,
child,7,landscaping,Tree trimming,landscaping-tree-trimming,,,active,landscaping,assets/icons/landscaping.svg,assets/images/service-landscaping.jpg,,,
child,8,landscaping,Sod installation,landscaping-sod-installation,,,active,landscaping,assets/icons/landscaping.svg,assets/images/service-landscaping.jpg,,,
parent,8,,Painting,painting,Interior & exterior,"Interior and exterior painting with written scopes, prep details, and finish options.",active,,assets/icons/painting.svg,assets/images/service-painting.jpg,Paint roller applying terracotta paint to a wall,paint-roller,Interior painting | Exterior painting | Bathroom painting | Cabinet painting | Drywall prep | Trim and door finishing | Color consultation | Deck staining | Wallpaper removal
child,1,painting,Interior painting,painting-interior-painting,,,active,painting,assets/icons/painting.svg,assets/images/service-painting.jpg,,,
child,2,painting,Exterior painting,painting-exterior-painting,,,active,painting,assets/icons/painting.svg,assets/images/service-painting.jpg,,,
child,3,painting,Bathroom painting,painting-bathroom-painting,,,active,painting,assets/icons/painting.svg,assets/images/service-painting.jpg,,,
child,4,painting,Cabinet painting,painting-cabinet-painting,,,active,painting,assets/icons/painting.svg,assets/images/service-painting.jpg,,,
child,5,painting,Drywall prep,painting-drywall-prep,,,active,painting,assets/icons/painting.svg,assets/images/service-painting.jpg,,,
child,6,painting,Trim and door finishing,painting-trim-and-door-finishing,,,active,painting,assets/icons/painting.svg,assets/images/service-painting.jpg,,,
child,7,painting,Color consultation,painting-color-consultation,,,active,painting,assets/icons/painting.svg,assets/images/service-painting.jpg,,,
child,8,painting,Deck staining,painting-deck-staining,,,active,painting,assets/icons/painting.svg,assets/images/service-painting.jpg,,,
child,9,painting,Wallpaper removal,painting-wallpaper-removal,,,active,painting,assets/icons/painting.svg,assets/images/service-painting.jpg,,,
parent,9,,Bathroom Remodeling,bathroom-remodeling,Tile & fixtures,"Vanity, tile, fixture, and full bathroom remodel projects with staged estimates.",active,,assets/icons/bathroom-remodeling.svg,assets/images/service-bathroom.jpg,White subway tile shower with chrome fixtures,bath,Vanity replacement | Tile and shower updates | Fixture upgrades | Lighting and ventilation | Accessibility improvements | Full bathroom remodels | Shower door install | Bathtub refinishing
child,1,bathroom-remodeling,Vanity replacement,bathroom-remodeling-vanity-replacement,,,active,bathroom-remodeling,assets/icons/bathroom-remodeling.svg,assets/images/service-bathroom.jpg,,,
child,2,bathroom-remodeling,Tile and shower updates,bathroom-remodeling-tile-and-shower-updates,,,active,bathroom-remodeling,assets/icons/bathroom-remodeling.svg,assets/images/service-bathroom.jpg,,,
child,3,bathroom-remodeling,Fixture upgrades,bathroom-remodeling-fixture-upgrades,,,active,bathroom-remodeling,assets/icons/bathroom-remodeling.svg,assets/images/service-bathroom.jpg,,,
child,4,bathroom-remodeling,Lighting and ventilation,bathroom-remodeling-lighting-and-ventilation,,,active,bathroom-remodeling,assets/icons/bathroom-remodeling.svg,assets/images/service-bathroom.jpg,,,
child,5,bathroom-remodeling,Accessibility improvements,bathroom-remodeling-accessibility-improvements,,,active,bathroom-remodeling,assets/icons/bathroom-remodeling.svg,assets/images/service-bathroom.jpg,,,
child,6,bathroom-remodeling,Full bathroom remodels,bathroom-remodeling-full-bathroom-remodels,,,active,bathroom-remodeling,assets/icons/bathroom-remodeling.svg,assets/images/service-bathroom.jpg,,,
child,7,bathroom-remodeling,Shower door install,bathroom-remodeling-shower-door-install,,,active,bathroom-remodeling,assets/icons/bathroom-remodeling.svg,assets/images/service-bathroom.jpg,,,
child,8,bathroom-remodeling,Bathtub refinishing,bathroom-remodeling-bathtub-refinishing,,,active,bathroom-remodeling,assets/icons/bathroom-remodeling.svg,assets/images/service-bathroom.jpg,,,
parent,10,,Pest Control,pest-control,Inspect & prevent,"Inspections, treatments, and prevention plans from local pest control professionals.",active,,assets/icons/pest-control.svg,assets/images/service-pest.jpg,Pest treatment along a brick home foundation,bug,General pest inspections | Ant and roach treatment | Rodent exclusion | Termite inspections | Seasonal prevention plans | Follow-up treatments | Bed bug treatment | Mosquito treatment
child,1,pest-control,General pest inspections,pest-control-general-pest-inspections,,,active,pest-control,assets/icons/pest-control.svg,assets/images/service-pest.jpg,,,
child,2,pest-control,Ant and roach treatment,pest-control-ant-and-roach-treatment,,,active,pest-control,assets/icons/pest-control.svg,assets/images/service-pest.jpg,,,
child,3,pest-control,Rodent exclusion,pest-control-rodent-exclusion,,,active,pest-control,assets/icons/pest-control.svg,assets/images/service-pest.jpg,,,
child,4,pest-control,Termite inspections,pest-control-termite-inspections,,,active,pest-control,assets/icons/pest-control.svg,assets/images/service-pest.jpg,,,
child,5,pest-control,Seasonal prevention plans,pest-control-seasonal-prevention-plans,,,active,pest-control,assets/icons/pest-control.svg,assets/images/service-pest.jpg,,,
child,6,pest-control,Follow-up treatments,pest-control-follow-up-treatments,,,active,pest-control,assets/icons/pest-control.svg,assets/images/service-pest.jpg,,,
child,7,pest-control,Bed bug treatment,pest-control-bed-bug-treatment,,,active,pest-control,assets/icons/pest-control.svg,assets/images/service-pest.jpg,,,
child,8,pest-control,Mosquito treatment,pest-control-mosquito-treatment,,,active,pest-control,assets/icons/pest-control.svg,assets/images/service-pest.jpg,,,
